Zip Code	No. Homes	Ave Price	Ave Sqft	Ave Beds	Ave Baths	Ave $/SqFt	Ave DOM	Ave YrBlt	Ave HOA
76051	7	$468,985	2,575	3.4	2.9	$182.08	1.6	2001	$22.71
76052	22	$255,099	2,232	3.8	2.3	$114.25	11.4	2010	$38.27
76053	7	$244,957	2,050	3.4	2.2	$119.46	2.7	1994	$9.57
76054	5	$298,500	2,284	3.6	2.2	$130.65	2.8	1981	$1.00
76060	2	$277,400	3,042	4.5	2.8	$91.19	3.5	2002	$.00
76063	10	$326,520	2,893	4.1	2.7	$112.86	1.8	1999	$18.90
76082	1	$325,000	2,221	4.0	2.0	$146.33	4.0	2012	$.00
76085	2	$348,055	3,530	5.0	3.8	$98.6	2.0	1994	$.00
76087	22	$309,387	2,489	3.5	2.4	$124.27	27.7	2002	$4.95
76092	15	$846,498	4,257	4.5	4.1	$198.83	2.5	2000	$200.93
76102	6	$499,228	1,683	2.0	1.9	$296.57	6.0	1981	$565.83
76103	6	$163,925	1,824	3.0	1.9	$89.85	1.7	1960	$.00
76104	9	$164,409	1,364	3.0	1.7	$120.46	2.9	1951	$.00
76105	4	$195,975	1,952	4.2	2.2	$100.37	3.0	1935	$.00
76106	3	$136,633	1,537	4.0	2.0	$88.9	4.3	1995	$.00
76107	33	$625,963	2,478	3.2	2.6	$252.61	7.2	1964	$10.76
76108	72	$263,507	2,050	3.5	2.2	$128.48	21.3	1991	$6.74
76109	16	$577,193	2,470	3.2	2.7	$233.68	5.4	1960	$52.81
76110	8	$354,637	2,085	3.0	2.2	$170.04	3.5	1959	$.00
76111	5	$241,080	1,870	3.4	2.1	$128.88	3.2	1939	$.40
76112	11	$194,572	2,116	3.5	2.4	$91.95	4.3	1978	$31.82
76114	12	$214,387	1,682	3.0	1.7	$127.45	7.1	1958	$11.83
76115	1	$124,900	973	3.0	1.0	$128.37	2.0	1953	$.00
76116	73	$308,637	2,216	3.5	2.4	$139.22	29.4	1968	$7.84
76117	4	$135,624	1,546	2.8	1.2	$87.7	3.0	1960	$.00
76118	4	$204,175	1,903	3.8	2.1	$107.26	2.5	1978	$10.25
76119	4	$172,725	1,728	3.5	1.8	$99.91	2.0	1971	$.00
76120	13	$269,084	2,211	3.2	2.3	$121.67	4.2	2003	$25.46
76123	34	$243,344	2,519	3.8	2.5	$96.59	20.3	2008	$26.44
76126	88	$524,509	3,217	3.8	3.3	$163.03	69.9	2008	$152.55
76131	123	$264,238	2,393	3.6	2.5	$110.4	21.4	2012	$22.72
76132	59	$644,508	3,880	3.7	3.5	$166.09	75.2	1997	$80.85
76133	26	$171,292	1,783	3.2	2.1	$96.02	2.8	1968	$.04
76134	12	$186,522	2,049	3.3	2.2	$91.03	4.0	1998	$6.17
76135	10	$256,270	2,013	3.6	2.5	$127.28	38.1	1972	$5.00
76137	62	$237,640	2,306	3.8	2.3	$103.05	27.3	1996	$7.03
76140	13	$182,384	1,694	3.3	2.2	$107.64	3.8	1993	$10.54
76148	16	$193,224	1,799	3.2	2.2	$107.36	15.6	1986	$1.88
76164	3	$111,633	1,572	3.0	2.0	$71	6.0	1921	$.00
76177	129	$286,651	2,475	3.6	2.6	$115.8	33.4	2014	$32.19
76179	332	$284,129	2,613	3.8	2.6	$108.73	36.7	2010	$16.54
76180	10	$232,170	2,003	3.3	2.1	$115.91	3.2	1978	$4.10
76182	5	$492,580	3,483	4.4	3.8	$141.4	2.4	2006	$22.00
76201	1	$325,000	2,330	3.0	2.5	$139.48	112.0	2017	$.00
76226	3	$577,705	3,490	4.3	4.2	$165.5	3.0	2007	$114.33
76244	285	$329,375	2,825	4.0	2.8	$116.55	33.7	2009	$29.90
76247	15	$215,520	2,129	3.6	2.3	$101.2	7.7	2007	$25.33
76248	90	$520,344	3,466	4.1	3.4	$150.1	43.9	2007	$28.11
76262	201	$465,605	3,111	3.9	3.3	$149.66	50.2	2012	$27.00
76924	1	$300,566	2,840	4.0	3.0	$105.83	210.0	2017	$30.00
